fund_name,country,region,major region,inception,quintile,aum_bn,aum_date,lat,long,type,cumulative score,"Leader, Finalist, Other",Disclosure 1A,Disclosure 1B,Intention 1A,Intention 1B,Clarity 1A,Clarity 1B,Integration 1A,Integration 1B,Implementation 1A,Implementation 1B,Commitment 1A,Commitment 1B,Accountability 1A,Accountability 1B,Partnership 1A,Partnership 1B,Standards 1A,Standards 1B,Development 1A,Development 1B
Palestine Investment Fund,Palestinian Authority,MENA,EMEA,2003,2,1,2018,31.916957,35.207072,SWF,74,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Pennsylvania Public School Employees Retirement System (PPSERS),USA,North America,Americas,1917,4,50,2017,40.2632281,-76.8787918,GPF,14,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Fail
Pennsylvania State Employees Retirement (PSERS),USA,North America,Americas,1932,5,29,2017,40.2613329,-76.8818323,GPF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Pensioenfonds Metaal en Techniek (PMT),Netherlands,Europe,Europe,Unknown,2,67,2015,52.0793614,4.3348707,GPF,86,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Pass
Pension Fund Association for Local Government Officials,Japan,Asia,Asia,1967,2,169,2018,35.66976,139.73318,GPF,70,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
PensionDanmark,Denmark,Europe,Europe,2002,1,32,2018,55.700977,12.599999,GPF,96,Leader's List,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Pensionskasse Post (Swiss Post),Switzerland,Europe,Europe,2001,3,15,2018,46.9547523,7.4515314,GPF,52,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail
PGGM,Netherlands,Europe,Europe,1969,1,263,2017,1.279951,103.845229,GPF,100,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail
PKA,Denmark,Europe,Europe,1954,2,40,2017,55.72758,12.579189,GPF,85,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass
PME,Netherlands,Europe,Europe,2014,1,47,2016,52.0749456,4.2696802,GPF,90,Finalist,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail
PREVI,Brazil,Latin America,Americas,1904,1,50,2018,-22.950419,-43.180793,GPF,92,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Public Employee Retirement System of Idaho (PERSHI),USA,North America,Americas,1965,5,18,2018,43.619824,-116.19986,GPF,10,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass
Public Investment Corp.,South Africa,Africa,EMEA,2005,1,156,2017,43.780178,-79.416408,GPF,96,Leader's List,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail
Public Investment Fund,Saudi Arabia,MENA,EMEA,1971,3,250,2018,55.755372,37.62653,SWF,32,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
Public Sector Pension Investment Board,Canada,North America,Americas,1999,1,122,2018,-27.467293,153.029521,SWF,92,Finalist,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Public Service Pension Fund,Taiwan,Asia,Asia,1943,5,19,2017,24.99042,121.571122,GPF,10,Other Rated Fund,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Qatar Investment Authority,Qatar,MENA,EMEA,2006,3,338,2017,55.746986,37.539267,SWF,28,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
QIC,Australia,Oceania,Asia,1991,1,82,2017,60.175012,24.950547,SWF,90,Finalist,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail
QSuper,Australia,Oceania,Asia,1912,1,49,2017,-27.3330329,153.0225638,GPF,92,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
Retail Employees Superannuation Trust (REST),Australia,Oceania,Asia,1988,3,31,2017,-33.8677276,151.2041196,GPF,58,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
RPMI Railpen,UK,Europe,Europe,1965,1,38,2018,51.520236,-0.080769,GPF,100,Leader's List,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail
Russian Direct Investment Fund,Russia,Eastern Europe,EMEA,2011,2,10,2017,-1.952453,30.063635,SWF,66,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
SAMA Foreign Holdings,Saudi Arabia,MENA,EMEA,1950,3,516,2017,40.7648,-73.9808,SWF,32,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
South Carolina Public Employees Benefit Association (SCPEBA),USA,North America,Americas,1945,5,30,2017,34.058266,-80.994363,GPF,10,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Fail
South Dakota Investment Council,USA,North America,Americas,1971,5,14,2017,43.506985,-96.774911,GPF,10,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
State General Reserve Fund,Oman,MENA,EMEA,1980,3,20,2018,23.616125,58.477528,SWF,43,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass
State of Wisconsin Investment Board,USA,North America,Americas,1951,4,10,2017,43.073748,-89.379077,GPF,14,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
State Oil Fund of the Republic of Azerbaijan,Azerbaijan,Asia,Asia,1999,3,38,2017,40.415027,49.901952,SWF,53,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Pass
State Universities Retirement System of Illinois,USA,North America,Americas,1941,3,21,2017,53.405808,-2.995859,GPF,32,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Sustainability Guarantee Fund,Argentina,Latin America,Americas,1992,4,64,2015,43.645798,-79.383176,SWF,16,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Swiss Federal Pension Fund PUBLICA (Bundes Pensionskass),Switzerland,Europe,Europe,2001,2,41,2017,46.9398048,7.4371649,GPF,86,Finalist,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Teachers' Pension Fund,South Korea,Asia,Asia,1975,3,11,2017,34.9419628,126.9999005,GPF,56,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Pass
Teachers' Retirement System of Louisiana (TRSL),USA,North America,Americas,1936,4,21,2017,30.4130506,-91.0976217,GPF,16,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Teachers' Retirement System of the State of Illinois,USA,North America,Americas,1939,5,51,2018,39.8013319,-89.7068503,GPF,10,Other Rated Fund,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Fail,Fail,Pass
Temasek Holdings,Singapore,Asia,Asia,1974,2,202,2017,1.299475,103.845468,Other,87,Finalist,Pass,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail
Tennessee Consolidated Retirement System,USA,North America,Americas,1972,5,47,2017,36.1652936,-86.7817608,GPF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Texas County and Distict Retirement System,USA,North America,Americas,1967,4,29,2018,30.2387,-97.8183,GPF,16,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Texas Employees Retirement System,USA,North America,Americas,1947,4,29,2017,30.279318,-97.736572,GPF,20,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Pass,Fail,Fail,Pass
Texas Municipal Retirement,USA,North America,Americas,1947,5,28,2017,30.271986,-97.732982,GPF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Texas Permanent School Fund,USA,North America,Americas,1854,5,41,2017,30.27875,97.74325,SWF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Texas Permanent University Fund,USA,North America,Americas,1876,5,37,2017,30.283515,-97.73488,SWF,10,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
Texas Teachers Retirement Fund,USA,North America,Americas,1937,5,145,2017,30.2956129,-97.7234163,GPF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
The City of New York Office of the Comptroller,USA,North America,Americas,1920,2,203,2017,40.713028,-74.003753,GPF,80,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
The Heritage and Stabilization Fund,Trinidad and Tobago,Latin America,Americas,2000,4,6,2017,10.6538,-61.5137,SWF,16,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
The Pula Fund,Botswana,Africa,EMEA,1993,4,6,2018,-24.655078,25.911684,SWF,15,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Timor-Leste Petroleum Fund,Timor-Leste,Africa,EMEA,2005,4,18,2016,-8.55431,125.578,SWF,20,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Turkiye Wealth Fund,Turkey,MENA,EMEA,2016,4,40,2017,39.9215,32.8538,SWF,22,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
UniSuper Management Pty Ltd,Australia,Oceania,Asia,2000,2,65,2017,-37.814624,144.9628853,GPF,79,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
United Nations Joint Staff Pension Fund,Global,Global,Europe,1949,1,60,2017,40.75026,-73.968104,Other,94,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail
Universities Superannuation Scheme,UK,Europe,Europe,1974,1,80,2017,53.405808,-2.995859,GPF,92,Finalist,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail
Utah Permanent State School Fund,USA,North America,Americas,1983,5,2,2017,40.777395,-111.88798,SWF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail
Utah State Retirement,USA,North America,Americas,1963,5,32,2017,40.2308897,-111.6489726,GPF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail
VER,Finland,Europe,Europe,1990,2,24,2017,60.171369,24.945379,GPF,81,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail
Victoria Funds Management Corp.,Australia,Oceania,Asia,1994,1,56,2017,-37.814158,144.970378,GPF,96,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail
Virginia Retirement,USA,North America,Americas,1942,4,74,2017,37.536717,-77.433598,GPF,14,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Washington State Investment Board,USA,North America,Americas,2005,1,129,2018,47.029435,-122.914094,GPF,91,Finalist,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
West Midlands Metropolitan,UK,Europe,Europe,1991,1,15,2018,52.5855,-2.12296,GPF,91,Finalist,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
West Virginia Investment,USA,North America,Americas,1961,4,15,2017,38.3259941,-81.5892088,GPF,16,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
West Yorkshire Pension Fund,UK,Europe,Europe,1974,2,18,2018,53.7929645,-1.7560717,GPF,67,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
World Bank Pension Fund,Global,Global,Europe,1948,3,20,2017,38.9069043,-77.0414391,Other,42,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Wyoming Permanent Mineral Trust Fund,USA,North America,Americas,1974,5,8,2017,41.153605,-104.82074,SWF,10,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
National Social Security Fund,China,Asia,Asia,2000,5,295,2017,39.91151,116.36027,GPF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail
SAFE Investment Company,China,Asia,Asia,1997,5,442,2017,22.27833,114.15861,SWF,10,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass
Investment Corporation of Dubai,UAE (Dubai),MENA,EMEA,2006,5,230,2017,24.642035,46.723966,SWF,10,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
State Fund for Guaranteeing Pension System,Bulgaria,Eastern Europe,EMEA,2008,5,2,2018,42.693962,23.328191,GPF,10,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Fondo de Reserva Seguidad Social,Spain,Europe,Europe,1966,5,16,2017,40.442253,-3.692192,GPF,10,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Fail
VBL,Germany,Europe,Europe,1997,5,40,2018,49.0138062,8.3977899,GPF,10,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail
Public Institute for Social Security,Kuwait,MENA,EMEA,1955,5,65,2017,,,GPF,0,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail